,FileName,FloatWMO,Pres_Adj,Temp_Adj,Sal_Adj,Oxy_Adj,Flux_Calc
207,meds/4900881,4900881,1.0,1.0,1.0,1.0,0.0
208,meds/4900882,4900882,1.0,1.0,1.0,1.0,0.0
209,meds/4900883,4900883,1.0,1.0,1.0,1.0,0.0
210,meds/4901139,4901139,1.0,1.0,1.0,1.0,0.0
211,meds/4901140,4901140,1.0,1.0,1.0,1.0,0.0
212,meds/4901141,4901141,1.0,1.0,1.0,1.0,87.1
213,meds/4901142,4901142,1.0,1.0,1.0,1.0,98.78
3,aoml/4901707,4901707,1.0,1.0,1.0,0.0,0.0
214,meds/4901779,4901779,1.0,1.0,1.0,0.0,5.38
215,meds/4901780,4901780,1.0,1.0,1.0,0.0,65.28
216,meds/4901781,4901781,1.0,1.0,1.0,0.0,100.0
217,meds/4901782,4901782,1.0,1.0,1.0,0.0,98.25
37,coriolis/4901801,4901801,0.0,0.0,0.0,,0.0
38,coriolis/4901802,4901802,1.0,0.0,0.0,1.0,0.0
39,coriolis/4901803,4901803,1.0,0.0,0.0,0.0,0.0
40,coriolis/4901804,4901804,1.0,0.0,0.0,1.0,0.0
41,coriolis/4901805,4901805,1.0,0.0,0.0,1.0,0.0
42,coriolis/4901806,4901806,1.0,1.0,1.0,0.0,0.0
218,meds/4902383,4902383,1.0,1.0,1.0,0.0,95.31
219,meds/4902384,4902384,1.0,1.0,1.0,0.0,100.0
220,meds/4902386,4902386,1.0,1.0,1.0,0.0,100.0
221,meds/4902390,4902390,1.0,1.0,1.0,0.0,0.0
222,meds/4902409,4902409,1.0,1.0,1.0,0.0,90.0
223,meds/4902410,4902410,1.0,1.0,1.0,0.0,61.02
