,FloatWMO,ProfNum,Date,Date_6hr,Lat,Lon,MLD,Surf_T,Surf_S,Surf_O,Oxy_Sat,Oxy_Dev,k_L13,Fp_L13,Fc_L13,Fd_L13,Ft_L13,k_N16,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4902409,32.0,2018-08-20 04:46:59.999999,2018-08-20 06:00:00.000000,58.85744094848633,-49.71002197265625,,8.441666603088379,34.21400578816732,282.6427917480469,98.92,-3.0778750286619356,1.9007698784479163e-05,2.0644504287042626e-08,4.022806495291375e-09,6.741478674568514e-08,9.208209752801914e-08,1.7306355053093056e-05,-7.117117036865635e-10,-6.5431791785876005e-09,-6.138061469082439e-08,-6.863550557309856e-08
0,4902409,33.0,2018-08-30 04:52:00.000000,2018-08-30 06:00:00.000000,58.78611373901367,-49.02956008911133,,7.968666712443034,34.26376469930013,276.6980895996094,95.86,-11.944312244850039,6.380204131480342e-05,1.4883500573189363e-06,4.534890079873811e-07,4.1487517657231977e-07,2.356714241878637e-06,0.00015410349780870536,-6.261201527950513e-08,-5.737991773915772e-07,-1.0020637983719922e-06,-1.6384749910430745e-06
0,4902409,34.0,2018-09-09 04:08:00.000000,2018-09-09 06:00:00.000000,58.57324981689453,-48.39384078979492,,7.571749925613403,34.2692985534668,280.8251724243164,96.43,-10.389595120893603,2.5186104367093766e-05,8.114508780583031e-08,1.3088113268015107e-08,1.7528384153238123e-07,2.695170426062267e-07,3.11123884164085e-05,-3.0030878780804756e-09,-2.743912794265823e-08,-2.165280855423108e-07,-2.469703013630495e-07
0,4902409,35.0,2018-09-19 04:51:00.000000,2018-09-19 06:00:00.000000,57.96734619140625,-47.678794860839844,,6.878000020980835,34.3795051574707,282.7801513671875,95.66,-12.814494939166934,1.8644318908900494e-05,5.42941301486785e-08,4.418788382695015e-09,2.34128297490617e-07,2.9284121602199055e-07,1.7377369970803322e-05,-8.144427683290302e-10,-7.407170123485168e-09,-2.1821843243555062e-07,-2.2644004532736483e-07
0,4902409,36.0,2018-09-29 04:50:00.000000,2018-09-29 06:00:00.000000,57.69739532470703,-47.13968276977539,,5.901749968528748,34.508750915527344,283.70670318603516,93.93,-18.32242172170794,1.3860204930406686e-05,4.2360720970784456e-08,1.5640906105958188e-09,3.250061640474837e-07,3.6893097562886394e-07,9.865498368603865e-06,-1.7888135861332925e-10,-1.6155647422151468e-09,-2.3133480329446852e-07,-2.33129249395297e-07
0,4902409,37.0,2018-10-09 04:49:00.000000,2018-10-09 06:00:00.000000,58.02957534790039,-47.746524810791016,,5.738199901580811,34.55405960083008,284.3778015136719,93.83,-18.70156485138415,4.207301300745227e-05,7.939459985351978e-07,1.157338901415145e-07,6.855814137177266e-07,1.595261302394439e-06,8.476964920143732e-05,-2.478383765505285e-08,-2.236050600747223e-07,-1.3813247919654145e-06,-1.6297136896951896e-06
0,4902409,38.0,2018-10-19 04:48:00.000000,2018-10-19 06:00:00.000000,57.9453125,-48.01209259033203,,5.542333443959554,34.68710199991862,282.8009745279948,92.98,-21.367046989078858,2.6192177022209814e-05,1.9721498282604993e-07,1.8984890618499917e-08,4.340054145162961e-07,6.50205287960846e-07,3.5591246403093586e-05,-4.5807331861348e-09,-4.130110832246314e-08,-5.897483678133388e-07,-6.356302093219367e-07
0,4902409,41.0,2018-11-18 04:52:00.000000,2018-11-18 06:00:00.000000,58.30903625488281,-49.000736236572266,,4.247833251953125,34.68272018432617,290.3455759684245,92.57,-23.30271050446055,3.622024667903347e-05,6.091655144465019e-07,7.638625654282919e-08,6.816028804873432e-07,1.3671546514766743e-06,6.885253527015354e-05,-1.8371041322779973e-08,-1.6378647749083039e-07,-1.2956865474955246e-06,-1.4778440663091349e-06
0,4902409,42.0,2018-11-28 04:52:00.000000,2018-11-28 06:00:00.000000,58.499332427978516,-48.713958740234375,,4.164499998092651,34.74625205993652,290.8064727783203,92.58,-23.319451286218282,1.2588349446237465e-05,3.5620103498182806e-08,1.304376181692339e-09,3.033970320735066e-07,3.4032151175338175e-07,8.54034682363895e-06,-1.3059385256693365e-10,-1.163993863343949e-09,-2.0583444161894609e-07,-2.0712902933485698e-07
0,4902409,43.0,2018-12-08 04:57:00.000000,2018-12-08 06:00:00.000000,58.31536102294922,-49.472843170166016,,4.0920000076293945,34.737335205078125,291.2561340332031,92.55,-23.43863041849704,2.9066719554269327e-05,3.727692054264495e-07,3.32397011686301e-08,6.567139821562466e-07,1.062722888751326e-06,4.562408823264855e-05,-8.491763980314832e-09,-7.563369323117153e-08,-1.0308000739323108e-06,-1.1149255311437973e-06
