,WMO,Prof,Date,Lat,Lon,O2Inv,O2EqInv
12,4901780.0,13.0,2015-09-21 14:47:59.999999,56.863094329833984,-55.138118743896484,494.4360492208267,572.7117266218274
13,4901780.0,14.0,2015-10-01 14:38:00.000000,56.44919967651367,-55.49639892578125,493.37062005528765,572.9193252920758
14,4901780.0,15.0,2015-10-11 14:43:00.000000,55.95029830932617,-55.3849983215332,493.2969366259426,572.9611339529524
15,4901780.0,16.0,2015-10-21 14:43:00.000000,55.663700103759766,-54.350101470947266,493.40585237111753,573.1530568056228
16,4901780.0,17.0,2015-10-31 14:47:00.000000,55.434600830078125,-53.302398681640625,494.93536724009164,572.9937534942002
17,4901780.0,18.0,2015-11-10 14:43:00.000000,55.3218994140625,-52.2671012878418,493.6445646536635,572.8809318636111
18,4901780.0,21.0,2015-12-10 14:47:00.000000,56.294498443603516,-53.74829864501953,498.55861700175666,574.9247089894964
19,4901780.0,23.0,2015-12-30 14:43:00.000000,57.462459564208984,-53.437042236328125,503.03105861884603,576.2546329493475
20,4901780.0,26.0,2016-01-29 14:37:00.000000,57.830055236816406,-54.45521926879883,508.99247944069026,578.8257979156607
21,4901780.0,27.0,2016-02-08 14:34:00.000000,57.67827606201172,-54.29765319824219,510.7083224410845,579.4754234491279
22,4901780.0,34.0,2016-04-18 14:44:00.000000,58.54324722290039,-54.667545318603516,511.10504241074517,576.3520547109355
23,4901780.0,45.0,2016-08-06 14:43:00.000000,57.57878494262695,-56.18971252441406,497.204689810204,572.4668302362871
24,4901780.0,46.0,2016-08-16 14:45:00.000000,57.11228942871094,-56.06177520751953,494.47541866585675,572.4724608899514
25,4901780.0,47.0,2016-08-26 14:46:00.000000,56.055538177490234,-55.7655143737793,492.96517289597773,572.4243797206173
26,4901780.0,48.0,2016-09-05 14:43:00.000000,55.75678253173828,-54.71974563598633,493.35746618426083,571.9965229888738
27,4901780.0,49.0,2016-09-15 14:43:00.000000,54.851707458496094,-52.68492126464844,492.5556247325064,571.7571440589942
28,4901780.0,50.0,2016-09-25 14:33:00.000000,54.313926696777344,-52.68022537231445,493.8107774112319,571.2935037609982
29,4901780.0,51.0,2016-10-05 14:50:00.000000,53.634918212890625,-51.933311462402344,492.4248017114806,571.3196192668612
30,4901780.0,52.0,2016-10-15 14:43:00.000000,52.75359344482422,-49.86976623535156,492.4940448067845,570.8984232969498
31,4901780.0,53.0,2016-10-25 14:46:00.000000,51.8134765625,-49.34348678588867,491.2937415809023,571.8109454072253
32,4901780.0,54.0,2016-11-04 14:41:00.000000,51.9051399230957,-49.14875793457031,490.1370423841578,571.2294099048515
33,4901780.0,55.0,2016-11-14 14:41:00.000000,51.833251953125,-49.10708999633789,489.8178097180043,571.6760310154841
34,4901780.0,56.0,2016-11-24 14:43:00.000000,51.801727294921875,-49.2132682800293,490.33845123205384,571.417363286593
35,4901780.0,57.0,2016-12-04 14:39:59.999999,51.696441650390625,-48.773658752441406,483.7528265337112,570.644687892329
36,4901780.0,58.0,2016-12-14 14:53:00.000000,51.63056182861328,-48.68361282348633,482.4008040355669,570.5161452762409
37,4901780.0,60.0,2017-01-03 14:46:00.000000,50.25732421875,-48.44589614868164,490.36980714612025,572.8679303601641
38,4901780.0,61.0,2017-01-13 14:50:00.000000,49.705074310302734,-48.3728141784668,489.5321353330923,572.863643517051
39,4901780.0,62.0,2017-01-23 14:44:00.000000,49.201202392578125,-48.47955322265625,490.64947574186596,573.8780558558194
40,4901780.0,63.0,2017-02-02 14:49:00.000000,48.94137191772461,-48.15040969848633,491.3823311126139,573.8489601091301
42,4901780.0,65.0,2017-02-22 14:46:00.000000,48.66012191772461,-46.723690032958984,490.50748728030965,573.0963665195678
43,4901780.0,66.0,2017-03-04 14:46:00.000000,49.170528411865234,-46.07279968261719,490.3483723124941,572.3361996434523
57,4901780.0,89.0,2017-10-20 14:44:00.000000,50.335662841796875,-45.15464401245117,425.1266150253148,546.381600344213
0,4901781.0,0.0,2015-05-10 11:41:00.000000,57.4375,-51.91360092163086,519.3440313707232,576.1882928626287
1,4901781.0,1.0,2015-05-19 15:56:00.000000,57.980323791503906,-52.22444534301758,518.7867429200869,576.4300770166788
0,4901782.0,0.0,2015-05-10 00:26:00.000000,56.544830322265625,-52.71664810180664,521.8153367335332,576.5766494369716
1,4901782.0,1.0,2015-05-19 03:47:00.000000,56.601200103759766,-53.56930160522461,519.1518052326401,576.1398739718512
2,4901782.0,2.0,2015-05-29 03:53:00.000000,57.12950134277344,-53.52539825439453,521.6667371011459,576.5309841240947
3,4901782.0,3.0,2015-06-08 03:48:00.000000,56.596500396728516,-51.96229934692383,517.9246735949989,576.4115521342501
4,4901782.0,4.0,2015-06-18 03:44:00.000000,57.50419998168945,-51.4192008972168,515.286004000962,576.423341358361
5,4901782.0,5.0,2015-06-28 03:53:00.000000,57.267799377441406,-53.653900146484375,514.6607237365753,575.767287062744
6,4901782.0,6.0,2015-07-08 03:53:00.000000,57.00080108642578,-52.85300064086914,510.6432351692875,575.3770626037688
7,4901782.0,7.0,2015-07-18 03:44:00.000000,57.38240051269531,-51.983001708984375,512.0247924814429,574.7835154369847
8,4901782.0,8.0,2015-07-28 03:47:00.000000,57.780799865722656,-52.292301177978516,510.83810360313436,574.8963672870487
9,4901782.0,9.0,2015-08-07 03:46:00.000000,57.679100036621094,-51.597198486328125,509.77639124188113,574.666715974213
10,4901782.0,10.0,2015-08-17 03:43:00.000000,57.417301177978516,-51.53089904785156,509.24890989392395,574.5320971615779
11,4901782.0,11.0,2015-08-27 03:46:00.000000,57.423500061035156,-52.15129852294922,507.73876617825226,574.3175468183248
12,4901782.0,12.0,2015-09-06 03:49:00.000000,57.605587005615234,-52.619869232177734,507.0924545063263,574.5946767685439
13,4901782.0,13.0,2015-09-16 03:43:00.000000,57.61040115356445,-51.71860122680664,507.57166476732334,574.5266513475642
15,4901782.0,15.0,2015-10-06 03:49:00.000000,58.14030075073242,-53.15800094604492,506.51705717621945,574.3954188788388
16,4901782.0,16.0,2015-10-16 03:46:00.000000,58.16740036010742,-53.382198333740234,505.58020575800737,574.2781649952835
17,4901782.0,17.0,2015-10-26 03:45:00.000000,58.28609848022461,-53.685001373291016,504.0281184128152,574.574146487986
18,4901782.0,18.0,2015-11-05 03:45:00.000000,58.34659957885742,-53.446800231933594,504.9503186030615,575.0886182143935
19,4901782.0,19.0,2015-11-15 03:46:00.000000,58.99869918823242,-52.80179977416992,503.6623469364425,574.7102233556192
20,4901782.0,20.0,2015-11-25 03:49:00.000000,58.76219940185547,-54.40890121459961,503.4892522801226,574.0896053513976
21,4901782.0,21.0,2015-12-05 03:49:00.000000,59.32368850708008,-53.58910369873047,502.29281454085634,574.6061238197915
22,4901782.0,22.0,2015-12-15 03:55:00.000000,60.039276123046875,-54.70346450805664,503.0781629574672,575.0559518938649
23,4901782.0,23.0,2015-12-25 03:42:00.000000,60.413204193115234,-53.55445861816406,502.4177548313981,575.2311645709674
24,4901782.0,24.0,2016-01-04 03:50:00.000000,60.401065826416016,-51.89166259765625,496.86645061278887,572.426562056553
25,4901782.0,25.0,2016-01-14 03:49:00.000000,60.10377883911133,-50.831626892089844,495.58847422642907,571.3726241461761
27,4901782.0,27.0,2016-02-03 03:55:00.000000,59.67444610595703,-50.41483688354492,496.9536938983881,571.5828684223975
29,4901782.0,29.0,2016-02-23 03:52:00.000000,59.88966751098633,-48.8453483581543,505.68148630703354,570.8786452288474
30,4901782.0,30.0,2016-03-04 03:51:00.000000,60.90212631225586,-50.5678825378418,500.9515105315703,571.4878804362907
31,4901782.0,31.0,2016-03-14 03:52:00.000000,61.363975524902344,-51.18625259399414,497.52815369210924,571.9110987627473
32,4901782.0,32.0,2016-03-24 03:52:00.000000,61.970733642578125,-52.38508224487305,499.54685012362967,572.4746054488784
33,4901782.0,33.0,2016-04-03 03:49:00.000000,61.327674865722656,-53.169776916503906,502.3971105828441,573.3286919928377
35,4901782.0,35.0,2016-04-23 03:49:00.000000,61.41106033325195,-51.77031707763672,502.4155338964522,572.2422166075897
36,4901782.0,36.0,2016-05-03 03:49:00.000000,61.251705169677734,-52.827213287353516,502.59598674085544,572.3280015430466
37,4901782.0,37.0,2016-05-13 03:48:00.000000,61.74713897705078,-54.24586868286133,503.4984643872786,572.3988441494761
