,BC_1,BC_2,BC_3,BC_4,BC_BC,BC_LSG,LSG_BC,LSG_LSG
237,1.0,2.2,1.5000000000000004,1.6000000000000005,89.26,16.31,16.96,53.06
238,1.0,2.2,1.6000000000000005,1.0,87.72,16.98,16.96,53.06
239,1.0,2.2,1.6000000000000005,1.1,87.96,17.05,16.96,53.06
240,1.0,2.2,1.6000000000000005,1.2000000000000002,88.13,17.09,16.96,53.06
241,1.0,2.2,1.6000000000000005,1.3000000000000003,88.45,17.12,16.96,53.06
242,1.0,2.2,1.6000000000000005,1.4000000000000004,88.61,17.12,16.96,53.06
243,1.0,2.2,1.6000000000000005,1.5000000000000004,89.1,17.12,16.96,53.06
244,1.0,2.2,1.6000000000000005,1.6000000000000005,89.42,17.12,16.96,53.06
245,1.0,2.3000000000000007,1.0,1.0,87.0,13.94,16.96,53.06
246,1.0,2.3000000000000007,1.0,1.1,87.4,14.01,16.96,53.06
247,1.0,2.3000000000000007,1.0,1.2000000000000002,87.8,14.08,16.96,53.06
248,1.0,2.3000000000000007,1.0,1.3000000000000003,88.13,14.15,16.96,53.06
249,1.0,2.3000000000000007,1.0,1.4000000000000004,88.29,14.15,16.96,53.06
250,1.0,2.3000000000000007,1.0,1.5000000000000004,88.85,14.15,16.96,53.06
251,1.0,2.3000000000000007,1.0,1.6000000000000005,89.26,14.18,16.96,53.06
252,1.0,2.3000000000000007,1.1,1.0,87.32,14.54,16.96,53.06
253,1.0,2.3000000000000007,1.1,1.1,87.64,14.61,16.96,53.06
254,1.0,2.3000000000000007,1.1,1.2000000000000002,87.96,14.68,16.96,53.06
255,1.0,2.3000000000000007,1.1,1.3000000000000003,88.29,14.72,16.96,53.06
256,1.0,2.3000000000000007,1.1,1.4000000000000004,88.45,14.72,16.96,53.06
257,1.0,2.3000000000000007,1.1,1.5000000000000004,89.01,14.72,16.96,53.06
258,1.0,2.3000000000000007,1.1,1.6000000000000005,89.34,14.72,16.96,53.06
259,1.0,2.3000000000000007,1.2000000000000002,1.0,87.48,15.1,16.96,53.06
260,1.0,2.3000000000000007,1.2000000000000002,1.1,87.8,15.18,16.96,53.06
261,1.0,2.3000000000000007,1.2000000000000002,1.2000000000000002,88.05,15.25,16.96,53.06
262,1.0,2.3000000000000007,1.2000000000000002,1.3000000000000003,88.37,15.28,16.96,53.06
263,1.0,2.3000000000000007,1.2000000000000002,1.4000000000000004,88.53,15.28,16.96,53.06
264,1.0,2.3000000000000007,1.2000000000000002,1.5000000000000004,89.1,15.28,16.96,53.06
265,1.0,2.3000000000000007,1.2000000000000002,1.6000000000000005,89.42,15.28,16.96,53.06
266,1.0,2.3000000000000007,1.3000000000000003,1.0,87.56,15.6,16.96,53.06
267,1.0,2.3000000000000007,1.3000000000000003,1.1,87.88,15.67,16.96,53.06
268,1.0,2.3000000000000007,1.3000000000000003,1.2000000000000002,88.05,15.71,16.96,53.06
269,1.0,2.3000000000000007,1.3000000000000003,1.3000000000000003,88.37,15.74,16.96,53.06
270,1.0,2.3000000000000007,1.3000000000000003,1.4000000000000004,88.53,15.74,16.96,53.06
271,1.0,2.3000000000000007,1.3000000000000003,1.5000000000000004,89.1,15.74,16.96,53.06
272,1.0,2.3000000000000007,1.3000000000000003,1.6000000000000005,89.42,15.74,16.96,53.06
273,1.0,2.3000000000000007,1.4000000000000004,1.0,87.64,16.13,16.96,53.06
274,1.0,2.3000000000000007,1.4000000000000004,1.1,87.96,16.2,16.96,53.06
275,1.0,2.3000000000000007,1.4000000000000004,1.2000000000000002,88.13,16.24,16.96,53.06
276,1.0,2.3000000000000007,1.4000000000000004,1.3000000000000003,88.45,16.27,16.96,53.06
277,1.0,2.3000000000000007,1.4000000000000004,1.4000000000000004,88.61,16.27,16.96,53.06
278,1.0,2.3000000000000007,1.4000000000000004,1.5000000000000004,89.18,16.27,16.96,53.06
279,1.0,2.3000000000000007,1.4000000000000004,1.6000000000000005,89.5,16.27,16.96,53.06
280,1.0,2.3000000000000007,1.5000000000000004,1.0,88.05,16.45,16.96,53.06
281,1.0,2.3000000000000007,1.5000000000000004,1.1,88.29,16.52,16.96,53.06
282,1.0,2.3000000000000007,1.5000000000000004,1.2000000000000002,88.45,16.55,16.96,53.06
283,1.0,2.3000000000000007,1.5000000000000004,1.3000000000000003,88.77,16.59,16.96,53.06
284,1.0,2.3000000000000007,1.5000000000000004,1.4000000000000004,88.93,16.59,16.96,53.06
285,1.0,2.3000000000000007,1.5000000000000004,1.5000000000000004,89.42,16.59,16.96,53.06
286,1.0,2.3000000000000007,1.5000000000000004,1.6000000000000005,89.74,16.59,16.96,53.06
287,1.0,2.3000000000000007,1.6000000000000005,1.0,88.21,17.26,16.96,53.06
288,1.0,2.3000000000000007,1.6000000000000005,1.1,88.45,17.33,16.96,53.06
289,1.0,2.3000000000000007,1.6000000000000005,1.2000000000000002,88.61,17.37,16.96,53.06
290,1.0,2.3000000000000007,1.6000000000000005,1.3000000000000003,88.93,17.4,16.96,53.06
291,1.0,2.3000000000000007,1.6000000000000005,1.4000000000000004,89.1,17.4,16.96,53.06
292,1.0,2.3000000000000007,1.6000000000000005,1.5000000000000004,89.58,17.4,16.96,53.06
293,1.0,2.3000000000000007,1.6000000000000005,1.6000000000000005,89.9,17.4,16.96,53.06
294,1.1,1.8,1.0,1.0,81.5,14.93,16.96,53.06
295,1.1,1.8,1.0,1.1,81.91,15.0,16.96,53.06
296,1.1,1.8,1.0,1.2000000000000002,82.31,15.07,16.96,53.06
297,1.1,1.8,1.0,1.3000000000000003,82.63,15.14,16.96,53.06
298,1.1,1.8,1.0,1.4000000000000004,82.79,15.14,16.96,53.06
299,1.1,1.8,1.0,1.5000000000000004,83.36,15.14,16.96,53.06
300,1.1,1.8,1.0,1.6000000000000005,83.76,15.18,16.96,53.06
301,1.1,1.8,1.1,1.0,81.91,15.53,16.96,53.06
302,1.1,1.8,1.1,1.1,82.23,15.6,16.96,53.06
303,1.1,1.8,1.1,1.2000000000000002,82.55,15.67,16.96,53.06
304,1.1,1.8,1.1,1.3000000000000003,82.88,15.71,16.96,53.06
305,1.1,1.8,1.1,1.4000000000000004,83.04,15.71,16.96,53.06
306,1.1,1.8,1.1,1.5000000000000004,83.6,15.71,16.96,53.06
307,1.1,1.8,1.1,1.6000000000000005,83.93,15.71,16.96,53.06
308,1.1,1.8,1.2000000000000002,1.0,82.07,16.09,16.96,53.06
309,1.1,1.8,1.2000000000000002,1.1,82.39,16.17,16.96,53.06
310,1.1,1.8,1.2000000000000002,1.2000000000000002,82.63,16.24,16.96,53.06
311,1.1,1.8,1.2000000000000002,1.3000000000000003,82.96,16.27,16.96,53.06
312,1.1,1.8,1.2000000000000002,1.4000000000000004,83.12,16.27,16.96,53.06
313,1.1,1.8,1.2000000000000002,1.5000000000000004,83.68,16.27,16.96,53.06
314,1.1,1.8,1.2000000000000002,1.6000000000000005,84.01,16.27,16.96,53.06
315,1.1,1.8,1.3000000000000003,1.0,82.23,16.59,16.96,53.06
316,1.1,1.8,1.3000000000000003,1.1,82.55,16.66,16.96,53.06
317,1.1,1.8,1.3000000000000003,1.2000000000000002,82.71,16.7,16.96,53.06
